title,rating,completion_time,modules_number
Introduction to Spreadsheets and Models,4.2,Gain insight into a topic and learn the fundamentals.,4 modules
Culture-Driven Team Building Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Psychological Research Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Visualizing the Living Body: Diagnostic Imaging,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Politics and Economics of International Energy,4.7,Gain insight into a topic and learn the fundamentals.,8 modules
Corporate & Commercial Law I: Contracts & Employment Law,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Music Education for Teachers Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Arm Cortex-M Architecture and Software Development Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Data Mining  Specialization,4.5,Get in-depth knowledge of a subject,6 course series
Learn English: Beginning Grammar Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Robotic Process Automation (RPA) Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Computational Neuroscience,4.6,Gain insight into a topic and learn the fundamentals.,8 modules
GPU Programming Specialization,,Get in-depth knowledge of a subject,4 course series
Write A Feature Length Screenplay For Film Or Television,4.6,Gain insight into a topic and learn the fundamentals.,20 modules
Introduction to Psychology,4.9,Gain insight into a topic and learn the fundamentals.,12 modules
Marketing Mix Implementation Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Investment and Portfolio Management Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Epidemiology: The Basic Science of Public Health,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Applied Computational Fluid Dynamics,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
CVS Health Call Center Customer Service Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,4 course series
Using Python to Interact with the Operating System,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Teach English Now! Capstone Project 1,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
PMP Exam Prep Certification Training  Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Financial Accounting Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Vital Signs: Understanding What the Body Is Telling Us,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Sustainability for Business: ESG Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
What is Compliance?,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Cybersecurity Attack and Defense Fundamentals Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Introduction to Forensic Science,4.9,Gain insight into a topic and learn the fundamentals.,9 modules
Creative Thinking: Techniques and Tools for Success,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Making Architecture,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
The Science of Well-Being for Teens,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",4.6,Gain insight into a topic and learn the fundamentals.,5 modules
Engineering Project Management Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Clinical Terminology for International and U.S. Students,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Neuroscience and Neuroimaging Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Finance for Technical Managers Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Algebra: Elementary to Advanced Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Terrorism and Counterterrorism: Comparing Theory and Practice,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
SAS Programmer Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,4 course series
Dog Emotion and Cognition,4.7,Gain insight into a topic and learn the fundamentals.,8 modules
"GIS, Mapping, and Spatial Analysis Specialization",4.9,Get in-depth knowledge of a subject,4 course series
Accounting: Principles of Financial Accounting,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Project Management: Foundations and Initiation,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Web Applications for Everybody Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Databases for Data Scientists Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Core Java Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Troubles du spectre de l'autisme : diagnostic,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Chinese for Beginners,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
ESG for All Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Sports Performance Analytics Specialization,4.5,Get in-depth knowledge of a subject,5 course series
Music Business  Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Business Communication Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Probabilistic Graphical Models  Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Introduction to Security Principles in Cloud Computing,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Microeconomics: The Power of Markets,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
ChatGPT Advanced Data Analysis,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
"Effective Communication: Writing, Design, and Presentation Specialization",4.8,Get in-depth knowledge of a subject,4 course series
IA Para Todos (EspaÃ±ol),4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Renewable Energy Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Real Estate Property Management,4.8,Gain insight into a topic and learn the fundamentals.,1 module
Mathematics for Machine Learning: Linear Algebra,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Technical Communication Specialization,4.4,Get in-depth knowledge of a subject,3 course series
Xbox Graphic Designer Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,5 course series
MLOps | Machine Learning Operations Specialization,3.8,Get in-depth knowledge of a subject,4 course series
Natural Language Processing with Probabilistic Models,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Data Modeling in Power BI,4.2,Gain insight into a topic and learn the fundamentals.,4 modules
Responsible Generative AI Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Teach English Now! Lesson Design and Assessment,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Data Science Foundations: Statistical Inference Specialization,4.3,Get in-depth knowledge of a subject,3 course series
Omnichannel Retail Strategy Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Java FullStack Developer Specialization,4.3,Get in-depth knowledge of a subject,3 course series
The Power of Statistics,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
English for Common Interactions in the Workplace: Basic Level,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Using Python to Access Web Data,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Blockchain Revolution Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Product Owner Certification [PSPO I] Preparation  Specialization,,Get in-depth knowledge of a subject,4 course series
Fractal Data Science  Professional Certificate,4.5,Earn a career credential that demonstrates your expertise,8 course series
Introduction to Genetics and Evolution,4.8,Gain insight into a topic and learn the fundamentals.,12 modules
Strategic Thinking for Everyone Specialization,4.5,Get in-depth knowledge of a subject,4 course series
Trading Strategies in Emerging Markets Specialization,4.3,Get in-depth knowledge of a subject,5 course series
Business and Marketing Strategies Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Embedding Sensors and Motors Specialization,4.6,Get in-depth knowledge of a subject,4 course series
An Introduction to Consumer Neuroscience & Neuromarketing ,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
"FinTech: Foundations, Payments, and Regulations",4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Learn Interpersonal Psychotherapy,4.9,Gain insight into a topic and learn the fundamentals.,9 modules
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Architecting with Google Kubernetes Engine Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Customer Analytics,4.6,Gain insight into a topic and learn the fundamentals.,5 modules
"HTML, CSS, and Javascript for Web Developers Specialization",4.6,Get in-depth knowledge of a subject,4 course series
Management Skills for New Managers,4.8,Gain insight into a topic and learn the fundamentals.,1 module
Power Electronics Specialization,4.8,Get in-depth knowledge of a subject,4 course series
"Anatomy of the Chest, Neck, Abdomen, and Pelvis",4.8,Gain insight into a topic and learn the fundamentals.,9 modules
Version Control,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Customer Relationship Management,4.6,Gain insight into a topic and learn the fundamentals.,1 module
Entrepreneurship 1: Developing the Opportunity,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Fundamentals of GIS,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Sales Training for High Performing Teams Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Generative AI in HR - Impact and Application of Gen AI,4.4,Gain insight into a topic and learn the fundamentals.,2 modules
Fundamentals of Computing Specialization,4.8,Get in-depth knowledge of a subject,7 course series
"Personal Productivity, Time Management and Prioritization",4.7,Gain insight into a topic and learn the fundamentals.,1 module
Economics of Money and Banking,4.9,Gain insight into a topic and learn the fundamentals.,13 modules
Building Smarter: BIM in Practice Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Arts and Heritage Management,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Data-driven Decision Making,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Inspired Leadership Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Six Sigma Principles ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
The Complete Quantum Computing Course for Beginners Specialization,4.2,Get in-depth knowledge of a subject,3 course series
Google Data Analytics Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
Certified Ethical Hacking (v12) Specialization,4.7,Get in-depth knowledge of a subject,4 course series
"Teach English Now! Second Language Reading, Writing, and Grammar ",4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Learn Chinese: HSK Test Preparation Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Gamification,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Market Research Specialization,4.5,Get in-depth knowledge of a subject,4 course series
MATLAB Programming for Engineers and Scientists Specialization,4.8,Get in-depth knowledge of a subject,3 course series
React Basics,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
C Programming with Linux Specialization,4.6,Get in-depth knowledge of a subject,7 course series
"Competencias digitales. Herramientas de ofimÃ¡tica (Microsoft Word, Excel, Power Point)",4.8,Gain insight into a topic and learn the fundamentals.,6 modules
RÃ©ussir le Changement,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
Global Diplomacy: the United Nations in the World,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Pre-MBA Statistics,4.6,Gain insight into a topic and learn the fundamentals.,6 modules
Site Reliability Engineering: Measuring and Managing Reliability,4.5,Gain insight into a topic and learn the fundamentals.,7 modules
Write Professional Emails in English,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Operations and Process Management,4.8,Gain insight into a topic and learn the fundamentals.,9 modules
Strategic Management and Innovation Specialization,4.7,Get in-depth knowledge of a subject,4 course series
International Leadership and Organizational Behavior,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Introduction to Computers,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Business Finance and Data Analysis Fundamentals Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Artificial Intelligence (AI) Education for Teachers,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Introduction to Model-Based Systems Engineering,4.3,Gain insight into a topic and learn the fundamentals.,5 modules
Learn Spanish: Basic Spanish Vocabulary Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Introduction to Cosmetic and Skincare Science,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Removing Barriers to Change,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Data Visualization with Python,4.5,Gain insight into a topic and learn the fundamentals.,5 modules
Foundations of Business Strategy,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
PwC GST Taxation Executive  Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
"Decisions, Decisions: Dashboards and Reports",4.8,Gain insight into a topic and learn the fundamentals.,6 modules
From Data to Insights with Google Cloud Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Understanding Medical Research: Your Facebook Friend is Wrong,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
Networking in Google Cloud Specialization,4.8,Get in-depth knowledge of a subject,6 course series
Healthcare Management and Finance Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Learn English: Advanced Grammar and Punctuation Specialization,4.8,Get in-depth knowledge of a subject,4 course series
A Story of Economics: A Principles Tale Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Modeling and Control of Power Electronics Specialization,4.8,Get in-depth knowledge of a subject,5 course series
Introduction to Finance: The Basics,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
AI Strategy and Project Management Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Learn to Program: The Fundamentals,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Liabilities and Equity in Accounting,4.4,Gain insight into a topic and learn the fundamentals.,4 modules
Integrative Health and Medicine Specialization,4.8,Get in-depth knowledge of a subject,5 course series
African development â from the past to the present,4.1,Gain insight into a topic and learn the fundamentals.,5 modules
OWASP Top 10 - 2021 Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Business Statistics and Analysis Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Petroleum Engineering with AI Applications  Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Power BI for Beginners: Build your First Report,4.4,"Learn, practice, and apply job-ready skills with expert guidance",Guided Project
Teach English Now! Capstone Project 2,4.9,Gain insight into a topic and learn the fundamentals.,5 modules
.NET FullStack Developer Specialization,4.1,Get in-depth knowledge of a subject,3 course series
Introduction to User Experience Design ,4.5,Gain insight into a topic and learn the fundamentals.,6 modules
"Teach English Now! Second Language Listening, Speaking, and Pronunciation",4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Advertising with Meta,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Narrative Economics,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Xbox Product Manager Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
Excel Skills for Business: Intermediate I,4.9,Gain insight into a topic and learn the fundamentals.,7 modules
Advanced Machine Learning on Google Cloud Specialization,4.5,Get in-depth knowledge of a subject,4 course series
Medical Billing and Coding Essentials,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Sales and CRM Overview,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
MBA Essentials,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Sustainable Fashion,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
Python Programming Fundamentals,4.2,Gain insight into a topic and learn the fundamentals.,6 modules
Tally Bookkeeper Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,3 course series
Everyday Chinese Medicine,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
International Security Management,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Google Cloud Fundamentals: Core Infrastructure,4.7,Gain insight into a topic and learn the fundamentals.,9 modules
Data Science Methodology,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Microsoft Azure Cloud Services,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Marketing Strategy Specialization,4.4,Get in-depth knowledge of a subject,5 course series
ÐÑÐºÑÑÑÑÐ²ÐµÐ½Ð½ÑÐ¹ ÐÐ½ÑÐµÐ»Ð»ÐµÐºÑ (ÐÐ) Ð´Ð»Ñ Ð²ÑÐµÑ,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Cloud Computing,4.6,Gain insight into a topic and learn the fundamentals.,6 modules
Real-World Product Management Specialization,4.5,Get in-depth knowledge of a subject,4 course series
Understanding child development: from synapse to society,4.6,Gain insight into a topic and learn the fundamentals.,6 modules
Learning and Development,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Leading Healthcare Quality and Safety,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
People Analytics,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Chemistry:  Reactions and Ratios,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Social Media Marketing Specialization,4.7,Get in-depth knowledge of a subject,6 course series
 Generative AI Content Creation,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Python for Cybersecurity Specialization,4.5,Get in-depth knowledge of a subject,5 course series
An Introduction to Learning Experience Design (LXD) Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Coaching Skills for Managers Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Fundamentals of Social Media Advertising,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
The Fundamentals of Personal Finance Specialization,4.6,Get in-depth knowledge of a subject,5 course series
"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",4.8,Gain insight into a topic and learn the fundamentals.,4 modules
The Digital Marketing Revolution,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Wind Energy,4.7,Gain insight into a topic and learn the fundamentals.,2 modules
Introduction to Git and GitHub,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Epidemiology in Public Health Practice Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Mathematics for Engineers Specialization,4.9,Get in-depth knowledge of a subject,5 course series
Viral Marketing and How to Craft Contagious Content,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Healing with the Arts,4.6,Gain insight into a topic and learn the fundamentals.,6 modules
BI Essentials for Finance Analysts (Power BI Edition) Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Abnormal Psychology Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Introduction to Data Analytics in Google Cloud,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
DevOps and AI on AWS Specialization,,Get in-depth knowledge of a subject,3 course series
Effective Compliance Programs,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Microsoft Generative AI for Data Analysis  Professional Certificate,4.4,Earn a career credential that demonstrates your expertise,6 course series
Impact Measurement & Management for the SDGs,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
TensorFlow: Data and Deployment Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Supply Chain Principles,4.6,Gain insight into a topic and learn the fundamentals.,5 modules
Essentials of Global Health,4.8,Gain insight into a topic and learn the fundamentals.,10 modules
Introduction to Machine Learning,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Chip based VLSI design for Industrial Applications Specialization,4.4,Get in-depth knowledge of a subject,4 course series
Real-World Engineering Management Specialization,4.8,Get in-depth knowledge of a subject,3 course series
Regression Analysis: Simplify Complex Data Relationships,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Relationship Management and Business Development ,4.3,Gain insight into a topic and learn the fundamentals.,1 module
Generative AI for Healthcare,4.2,Gain insight into a topic and learn the fundamentals.,5 modules
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
How to Sell: An Overview of Fundamental Selling Techniques,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Computer Vision and Image Processing,4.3,Gain insight into a topic and learn the fundamentals.,6 modules
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Data Science Ethics,4.7,Gain insight into a topic and learn the fundamentals.,10 modules
Inteligencia Artificial (IA): Interacciones y prompts,4.9,Gain insight into a topic and learn the fundamentals.,4 modules
Financial Acumen for Non-Financial Managers,4.5,Gain insight into a topic and learn the fundamentals.,4 modules
Microeconomics Principles Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Introduction to 3D Modeling,4.0,Gain insight into a topic and learn the fundamentals.,4 modules
Fundamentals of Accounting  Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Equine Welfare and Management,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Computational Thinking for Problem Solving,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Troubles du spectre de l'autisme : interventions,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Emotional Intelligence: Cultivating Immensely Human Interactions,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Dairy Production and Management,4.8,Gain insight into a topic and learn the fundamentals.,8 modules
A Law Student's Toolkit,4.7,Gain insight into a topic and learn the fundamentals.,7 modules
Solar Energy Basics,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Leadership in 21st Century Organizations,4.8,Gain insight into a topic and learn the fundamentals.,19 modules
Marketing Digital,4.7,Gain insight into a topic and learn the fundamentals.,5 modules
Microsoft Program Management Professional Certificate,4.6,Earn a career credential that demonstrates your expertise,7 course series
Certified Associate in Project Management (CAPM) Specialization,,Get in-depth knowledge of a subject,3 course series
Convolutional Neural Networks in TensorFlow,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Web3 and Blockchain in Global Commerce Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Machine Design Part I,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Machine Design Part I,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Financing and Investing in Infrastructure,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Foundations of Data Science: K-Means Clustering in Python,4.6,Gain insight into a topic and learn the fundamentals.,5 modules
Professional Selling: 3 Steps to High-Performance Specialization,4.6,Get in-depth knowledge of a subject,3 course series
University Teaching,4.8,Gain insight into a topic and learn the fundamentals.,7 modules
Introduction to Medical Software,4.8,Gain insight into a topic and learn the fundamentals.,14 modules
Introduction to Data Analytics,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Teach English Now! Technology Enriched Teaching,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Akamai Customer Consulting and Support Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,6 course series
Akamai Network Engineering Professional Certificate,4.7,Earn a career credential that demonstrates your expertise,5 course series
Natural Language Processing with Sequence Models,4.5,Gain insight into a topic and learn the fundamentals.,3 modules
Programming with Google Go Specialization,4.6,Get in-depth knowledge of a subject,3 course series
Digital Signal Processing Specialization,4.6,Get in-depth knowledge of a subject,4 course series
Positive Psychology ,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Google Cybersecurity Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,8 course series
Auditing I: Conceptual Foundations of Auditing,4.7,Gain insight into a topic and learn the fundamentals.,9 modules
Advanced Global Procurement and Sourcing Specialization,4.6,Get in-depth knowledge of a subject,7 course series
ESG Risks and Opportunities,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Learn to Speak Korean 1,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Disability Inclusion in Education: Building Systems of Support ,4.9,Gain insight into a topic and learn the fundamentals.,5 modules
Natural Language Processing with Attention Models,4.4,Gain insight into a topic and learn the fundamentals.,3 modules
RÃ©daction de contrats,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Building Strategic Foresight Capabilities,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
The Nuts and Bolts of Machine Learning,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Computational Social Science Specialization,4.7,Get in-depth knowledge of a subject,5 course series
Futures Thinking Specialization,4.9,Get in-depth knowledge of a subject,5 course series
Google Project Management: Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,6 course series
International Marketing & Cross Industry Growth  Specialization,4.7,Get in-depth knowledge of a subject,6 course series
Building Your Audience for Music Professionals Specialization,4.8,Get in-depth knowledge of a subject,3 course series
CISSP Certified Information Systems Security Professional Specialization,4.9,Get in-depth knowledge of a subject,8 course series
Introduction to Operations Management,4.4,Gain insight into a topic and learn the fundamentals.,4 modules
Google UX Design Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,7 course series
Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Machine Learning and Reinforcement Learning in Finance Specialization,3.7,Get in-depth knowledge of a subject,4 course series
Problem Solving with Excel ,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
The Art of Storytelling,4.5,Gain insight into a topic and learn the fundamentals.,1 module
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity ,4.6,Gain insight into a topic and learn the fundamentals.,6 modules
Digital Marketing,4.4,Gain insight into a topic and learn the fundamentals.,9 modules
CVS Health Retail Customer Service Professional Certificate,4.8,Earn a career credential that demonstrates your expertise,4 course series
AI for Mechanical Engineers Specialization,4.4,Get in-depth knowledge of a subject,3 course series
AI Agents: From Prompts to Multi-Agent Systems,,Gain insight into a topic and learn the fundamentals.,5 modules
Fundamentos de Finanzas Empresariales ,4.9,Gain insight into a topic and learn the fundamentals.,6 modules
Informationâ âSystems Specialization,4.8,Get in-depth knowledge of a subject,4 course series
Agentic AI and AI Agents: A Primer for Leaders,4.7,Gain insight into a topic and learn the fundamentals.,2 modules
Entrepreneurship Strategy: From Ideation to Exit,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Business Analysis,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
CISA: Certified Information Systems Auditor Specialization,4.6,Get in-depth knowledge of a subject,5 course series
Introduction to Google SEO,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Rocket Science for Everyone,4.9,Gain insight into a topic and learn the fundamentals.,5 modules
Uncommon Sense Teaching Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Introduction to Data Engineering,4.7,Gain insight into a topic and learn the fundamentals.,4 modules
Programa especializado en circuitos elÃ©ctricos con SPICE Specialization,4.9,Get in-depth knowledge of a subject,3 course series
Introduction to Intellectual Property,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
HTML and CSS in depth,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
Supply Chain Management and Analytics,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Image Processing for Engineering and Science Specialization,4.8,Get in-depth knowledge of a subject,3 course series
SHRM Certified Professional (SHRM-CP) Exam Prep Specialization,3.9,Get in-depth knowledge of a subject,3 course series
Blockchain Revolution in Financial Services Specialization,4.7,Get in-depth knowledge of a subject,4 course series
Introduction to Risk Management,4.6,Gain insight into a topic and learn the fundamentals.,6 modules
Large Language Model Operations (LLMOps) Specialization,4.4,Get in-depth knowledge of a subject,6 course series
Machine Learning Foundations for Product Managers,4.6,Gain insight into a topic and learn the fundamentals.,6 modules
Circular Economy - Sustainable Materials Management,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Medical Terminology and the Human Body Fundamentals,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
WordPress 101 - The Complete Guide,,Gain insight into a topic and learn the fundamentals.,8 modules
Financial Statement Analysis,4.6,Gain insight into a topic and learn the fundamentals.,4 modules
Introduction to Good Clinical Practice,4.7,Gain insight into a topic and learn the fundamentals.,3 modules
Introduction to OSHA: Safety Standards and Compliance,4.7,Gain insight into a topic and learn the fundamentals.,1 module
Preparing to Manage Human Resources,4.8,Gain insight into a topic and learn the fundamentals.,4 modules
Antibiotic Stewardship ,4.7,Gain insight into a topic and learn the fundamentals.,6 modules
Value Chain Management Specialization,4.7,Get in-depth knowledge of a subject,6 course series
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Rust Programming Specialization,4.0,Get in-depth knowledge of a subject,5 course series
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,4.8,Gain insight into a topic and learn the fundamentals.,5 modules
Rust Programming Specialization,4.0,Get in-depth knowledge of a subject,5 course series
Fundamentals of Engineering Exam Review,4.6,Gain insight into a topic and learn the fundamentals.,8 modules
Everyday Excel Specialization,4.7,Get in-depth knowledge of a subject,3 course series
Sustainability Consulting,4.8,Gain insight into a topic and learn the fundamentals.,6 modules
Finance for Non-Financial Managers,4.4,Gain insight into a topic and learn the fundamentals.,9 modules
Hospitality Luxury Brand Management,4.4,Gain insight into a topic and learn the fundamentals.,4 modules
